gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,80,64000,1024,4096,ck,13,0,1432.3809,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,374.81,277.45,0.0
gfx942,80,64000,1536,4096,ck,13,0,2130.708,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,377.95,218.26,0.0
gfx942,80,64000,4096,512,ck,9,0,1042.7907,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,257.42,536.21,0.0
gfx942,80,64000,4096,2048,ck,14,0,2966.0761,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,362.01,223.78,0.0
gfx942,80,64000,4096,12288,ck,13,0,15971.8418,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,403.36,85.22,0.0
gfx942,80,64000,8192,1024,ck,9,0,3378.5301,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,317.81,332.25,0.0
