gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,80,131072,1024,4096,ck,13,0,2934.1083,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,374.73,275.89,0.0
gfx942,80,131072,1536,4096,ck,13,0,4361.5968,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,378.13,216.85,0.0
gfx942,80,131072,4096,512,ck,9,0,2132.651,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,257.78,535.93,0.0
gfx942,80,131072,4096,2048,ck,14,0,6045.8692,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,363.72,223.39,0.0
gfx942,80,131072,4096,12288,ck,13,0,33040.3666,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,399.33,82.77,0.0
gfx942,80,131072,8192,1024,ck,9,0,6889.0736,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,319.2,332.42,0.0
