gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,80,54784,1024,4096,ck,13,0,1234.3678,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,372.31,276.08,0.0
gfx942,80,54784,1536,4096,ck,14,0,1836.751,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,375.31,217.22,0.0
gfx942,80,54784,4096,512,ck,9,0,894.0253,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,257.02,535.71,0.0
gfx942,80,54784,4096,2048,ck,14,0,2538.6442,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,362.05,224.28,0.0
gfx942,80,54784,4096,12288,ck,13,0,13733.9403,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,401.54,85.36,0.0
gfx942,80,54784,8192,1024,ck,9,0,2881.8756,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,318.93,333.83,0.0
